prompt_id,model,dataset_family,HuMT,E,D,F,OA,cluster_kmeans,cluster_hierarchical,cluster_dbscan,pc1,pc2,umap1,umap2
adv_067,claude_opus_4_8,CounselBench-ADV,0.0582873344421388,4,1,5,5,4,3,2,1.6901348114112966,-0.5834265217889507,12.152272,-8.503242
adv_068,claude_opus_4_8,CounselBench-ADV,0.077826192378998,2,1,3,2,1,1,3,-2.836017326272081,1.5950329883492955,-9.183108,3.3621876
adv_069,claude_opus_4_8,CounselBench-ADV,0.076236774921417,4,1,4,5,0,4,5,1.1836145022770759,0.7180749870359728,13.9433155,17.544825
adv_070,claude_opus_4_8,CounselBench-ADV,0.0732000303268431,3,1,4,4,5,4,1,-0.16555069631408983,0.6031945368772804,0.066209055,-4.554934
adv_071,claude_opus_4_8,CounselBench-ADV,0.0265793323516838,3,1,4,4,3,0,1,-0.7074703675381473,-0.7992382311029583,5.039059,0.09436311
adv_072,claude_opus_4_8,CounselBench-ADV,0.0387167739868168,3,1,4,4,3,0,1,-0.5663845694680041,-0.4341225934600406,3.934221,-0.40404814
adv_073,claude_opus_4_8,CounselBench-ADV,0.0692550659179689,4,1,5,5,4,3,2,1.8176238815797123,-0.253497827450053,12.183825,-9.031139
adv_074,claude_opus_4_8,CounselBench-ADV,0.0492960786819463,3,1,5,5,4,3,2,0.9669645918158438,-0.9920836245012858,8.94615,-7.642758
adv_075,claude_opus_4_8,CounselBench-ADV,0.0509354734420779,2,1,4,3,5,0,0,-1.7382202645783642,-0.09009239760100411,1.7749099,8.675517
adv_076,claude_opus_4_8,CounselBench-ADV,0.0601184654235842,2,1,4,3,5,0,0,-1.6314770322457504,0.18614818699569652,2.8062212,10.22059
adv_077,claude_opus_4_8,CounselBench-ADV,0.0437368559837345,3,1,4,4,3,0,1,-0.5080310633335187,-0.28310967867750503,3.3549232,-0.70179456
adv_078,claude_opus_4_8,CounselBench-ADV,0.0634956836700442,3,1,4,4,5,4,1,-0.27835416297387383,0.3112706847164688,1.0471704,-3.0021505
adv_079,claude_opus_4_8,CounselBench-ADV,0.0357783842086791,3,1,5,5,4,3,2,0.8098347146835143,-1.3987197003265859,9.780527,-7.0620484
adv_080,claude_opus_4_8,CounselBench-ADV,0.0633430409431459,4,1,5,5,4,3,2,1.7489024172993708,-0.431341959132232,12.164618,-8.860892
adv_081,claude_opus_4_8,CounselBench-ADV,0.0315012168884276,2,1,4,3,3,0,0,-1.9641243453720445,-0.6747090892407599,0.70651466,5.8316765
adv_082,claude_opus_4_8,CounselBench-ADV,0.0660011076927187,3,1,5,5,4,3,2,1.1611440919625315,-0.4895669078435772,8.605584,-9.116758
adv_083,claude_opus_4_8,CounselBench-ADV,-0.0218863916397094,3,1,5,5,3,3,-1,0.13953852165744024,-3.1333777968464114,10.319457,-6.8510733
adv_084,claude_opus_4_8,CounselBench-ADV,0.0108968830108642,3,1,4,4,3,0,1,-0.8897633867308927,-1.270993948906116,5.85442,0.45574608
adv_085,claude_opus_4_8,CounselBench-ADV,0.0635031938552854,2,1,4,3,5,0,0,-1.5921328997347448,0.2879667840888024,3.1577613,10.739847
adv_086,claude_opus_4_8,CounselBench-ADV,0.0539819049835204,2,1,5,4,5,3,7,-0.29243333037643804,-0.8746555304254153,9.483285,-11.0541315
adv_087,claude_opus_4_8,CounselBench-ADV,0.0901999282836909,2,1,5,4,5,3,7,0.12856549914927098,0.21484644774520104,9.256229,-10.524769
adv_088,claude_opus_4_8,CounselBench-ADV,0.0598110532760616,3,1,5,5,4,3,2,1.0891908094071907,-0.6757746551863187,8.612962,-8.223113
adv_089,claude_opus_4_8,CounselBench-ADV,0.0362243175506593,2,1,5,4,3,3,7,-0.4988477849278483,-1.4088350596419854,9.460699,-11.054888
adv_090,claude_opus_4_8,CounselBench-ADV,0.06569139957428,3,1,5,5,4,3,2,1.157544040290007,-0.49888347393272886,8.593399,-9.022261
adv_091,claude_opus_4_8,CounselBench-ADV,0.0786503314971929,4,1,4,5,0,4,5,1.21166971901197,0.790679022931056,13.655742,18.30434
adv_092,claude_opus_4_8,CounselBench-ADV,0.0519940137863157,3,1,4,4,5,0,1,-0.41204974096026276,-0.03471981804320579,2.406314,-1.4957085
adv_093,claude_opus_4_8,CounselBench-ADV,0.0550990438461305,2,1,4,3,5,0,0,-1.6898228616547823,0.0351551387946828,2.1316607,9.338359
adv_094,claude_opus_4_8,CounselBench-ADV,0.0391948223114013,4,1,5,5,4,3,2,1.468203172759221,-1.1577629388343023,11.842268,-7.839901
adv_095,claude_opus_4_8,CounselBench-ADV,0.0568053746223449,3,1,3,3,1,1,4,-1.7664975822980002,0.9862195595131784,-7.9308586,5.87803
adv_096,claude_opus_4_8,CounselBench-ADV,0.0473730564117431,3,1,5,5,4,3,2,0.9446113529823041,-1.049931523876917,9.017795,-7.577667
adv_097,claude_opus_4_8,CounselBench-ADV,0.0688545489311218,4,1,4,5,0,4,5,1.0978034000131398,0.4960046174558833,12.461848,13.369782
adv_098,claude_opus_4_8,CounselBench-ADV,0.0765186452865602,4,1,4,5,0,4,5,1.186890967500475,0.7265541444396223,13.881441,17.646585
adv_099,claude_opus_4_8,CounselBench-ADV,0.0342298436164854,3,1,4,4,3,0,1,-0.6185407133419295,-0.569097367590435,4.399306,-0.19801877
adv_100,claude_opus_4_8,CounselBench-ADV,0.0116069459915157,3,1,5,5,4,3,2,0.5288655653447961,-2.1258391660845195,10.255011,-6.8033295
adv_101,claude_opus_4_8,CounselBench-ADV,0.0637187075614926,3,1,5,5,4,3,2,1.1346134396463685,-0.5582255267123769,8.586735,-8.731487
adv_102,claude_opus_4_8,CounselBench-ADV,0.0224751329421994,3,1,4,4,3,0,1,-0.7551776411574921,-0.9226997833356799,5.496573,0.22244166
adv_103,claude_opus_4_8,CounselBench-ADV,0.0414874505996705,2,1,5,4,3,3,7,-0.43766904982936594,-1.250510740814628,9.454272,-11.06879
adv_104,claude_opus_4_8,CounselBench-ADV,0.0604185676574706,3,1,4,4,5,4,1,-0.314122604251623,0.2187056113833907,1.2030799,-2.8174787
adv_105,claude_opus_4_8,CounselBench-ADV,0.0531963968276976,4,1,5,5,4,3,2,1.6309576785483315,-0.7365708984355573,12.114045,-8.176934
adv_106,claude_opus_4_8,CounselBench-ADV,0.0490485477447508,4,1,5,5,4,3,2,1.5827430204899038,-0.8613455097822357,12.099292,-8.053136
adv_107,claude_opus_4_8,CounselBench-ADV,0.0426112747192384,3,1,5,5,4,3,2,0.889260333342533,-1.1931743102267747,9.364157,-7.317274
adv_108,claude_opus_4_8,CounselBench-ADV,0.063754668235779,3,1,4,4,5,4,1,-0.27534372261560447,0.319061396935774,1.0506612,-2.9963453
adv_109,claude_opus_4_8,CounselBench-ADV,0.0271882581710816,2,1,4,3,3,0,0,-2.014258240221762,-0.8044504894097346,-0.35761642,4.359151
adv_110,claude_opus_4_8,CounselBench-ADV,0.0500678634643554,2,1,4,3,5,0,0,-1.7483053755762434,-0.11619163496619671,1.7236753,8.574094
adv_111,claude_opus_4_8,CounselBench-ADV,0.0544148921966556,4,1,4,5,0,5,5,0.9299566201494063,0.06163429177796236,11.79392,7.553792
adv_112,claude_opus_4_8,CounselBench-ADV,0.0793160152435303,3,1,5,5,4,3,2,1.315916770959298,-0.08903102007468802,8.887594,-9.694031
adv_113,claude_opus_4_8,CounselBench-ADV,0.0381999826431274,2,1,4,3,3,0,0,-1.8862577948255865,-0.47319840820332576,0.85471535,6.212129
adv_114,claude_opus_4_8,CounselBench-ADV,0.0613835716247566,4,1,4,5,0,5,5,1.0109606511605793,0.27126445185677517,11.976799,10.179279
adv_115,claude_opus_4_8,CounselBench-ADV,0.0377123498916631,2,1,4,3,3,0,0,-1.8919260450197903,-0.4878672608609648,0.82517487,6.1634946
adv_116,claude_opus_4_8,CounselBench-ADV,0.0475808930397034,3,1,4,4,3,0,1,-0.4633479206947337,-0.16747426859648187,2.8355248,-1.1291938
adv_117,claude_opus_4_8,CounselBench-ADV,0.0886798501014709,3,1,5,5,4,3,2,1.4247621235174117,0.19264963699588275,9.030198,-9.866163
adv_118,claude_opus_4_8,CounselBench-ADV,0.041150534152984,2,1,4,3,3,0,0,-1.8519605411679276,-0.38444061819251824,0.91665626,6.4694195
adv_119,claude_opus_4_8,CounselBench-ADV,0.0152338337898259,3,1,4,4,3,0,1,-0.8393506078080603,-1.1405308252357216,5.774072,0.3816723
adv_120,claude_opus_4_8,CounselBench-ADV,0.0386428713798521,2,1,4,3,3,0,0,-1.8811096497093855,-0.4598755343741298,0.7768123,6.2521253
questionID_452,claude_opus_4_8,CounselBench-EVAL,0.0823216247558593,4,1,5,5,4,3,2,1.969509751525982,0.1395672932987463,12.156492,-9.43864
questionID_464,claude_opus_4_8,CounselBench-EVAL,0.0809637832641607,3,1,4,4,5,4,1,-0.07530471926977905,0.8367419094970239,-0.3638529,-5.0213275
questionID_466,claude_opus_4_8,CounselBench-EVAL,0.0731093311309818,3,1,5,5,4,3,2,1.2437701845770857,-0.2757390179810756,8.734321,-9.455987
questionID_475,claude_opus_4_8,CounselBench-EVAL,0.0432019758224493,2,1,5,4,3,3,7,-0.4177393837070632,-1.1989348001190427,9.4729595,-11.093094
questionID_478,claude_opus_4_8,CounselBench-EVAL,0.0236540699005129,4,1,4,5,0,5,5,0.5723923744534396,-0.8637054614173619,15.239824,2.7741408
questionID_144,claude_opus_4_8,CounselBench-EVAL,0.0781179475784297,4,1,3,4,0,1,6,-0.20489388906451023,1.650869139465297,-7.334149,6.081499
questionID_146,claude_opus_4_8,CounselBench-EVAL,0.055326352119446,4,1,3,4,0,1,6,-0.469823726116397,0.9652577759619144,-7.4816403,6.2477326
questionID_160,claude_opus_4_8,CounselBench-EVAL,0.0350465440750129,3,1,4,4,3,0,1,-0.609047375335502,-0.5445295782949223,4.3531733,-0.22726987
questionID_168,claude_opus_4_8,CounselBench-EVAL,0.0391416835784905,4,1,5,5,4,3,2,1.4675854873551197,-1.1593614455817294,11.823573,-7.8204103
questionID_229,claude_opus_4_8,CounselBench-EVAL,0.0719398021697994,2,1,3,2,1,1,3,-2.9044408116640223,1.417959995600521,-9.169032,3.2887034
questionID_859,claude_opus_4_8,CounselBench-EVAL,0.0104154849052431,3,1,5,5,4,3,2,0.5150160043516695,-2.1616804156096197,10.213829,-6.9208527
