domain,specification,repeat,fold,n_train,n_test,train_prompts,test_prompts,r2,rmse,mae
pooled,F_only,11,3,1193,297,399,100,0.4003170596694946,0.4048999011735202,0.30605948142213246
pooled,F_only,11,4,1193,297,400,99,0.4384954526474054,0.4452529721286239,0.3367141405886848
pooled,F_only,12,0,1191,299,399,100,0.40707431079120504,0.4308296333608348,0.3211623424556896
pooled,F_only,12,1,1194,296,399,100,0.42083464022089245,0.33750283186921626,0.27319756672964757
pooled,F_only,12,2,1190,300,399,100,0.5340474587176526,0.38478140629127777,0.30413214393251464
pooled,F_only,12,3,1192,298,399,100,0.5112958608987839,0.4447996189640461,0.3274734941644319
pooled,F_only,12,4,1193,297,400,99,0.45317924914845276,0.3822485400824487,0.2959900282694035
pooled,F_only,13,0,1191,299,399,100,0.49435747502527205,0.41686091917334345,0.31762304161749305
pooled,F_only,13,1,1191,299,399,100,0.5221557920426871,0.378508527274177,0.2864426774555452
pooled,F_only,13,2,1190,300,399,100,0.5204892980862195,0.3471307544654146,0.28144058002825395
pooled,F_only,13,3,1192,298,399,100,0.4337479374029981,0.44464362085114784,0.32337809947109974
pooled,F_only,13,4,1196,294,400,99,0.3796010361244444,0.3949524790573925,0.31612324114811485
pooled,F_only,14,0,1193,297,399,100,0.4433456198112292,0.3887446830683849,0.30133628801916934
pooled,F_only,14,1,1191,299,399,100,0.43830948199707787,0.3720512281011268,0.2892012728222985
pooled,F_only,14,2,1191,299,399,100,0.36714775607182837,0.4179209298621247,0.3100871475894211
pooled,F_only,14,3,1192,298,399,100,0.48508541999199517,0.4303753002251275,0.3341824935806724
pooled,F_only,14,4,1193,297,400,99,0.5714398048189016,0.38313299446175514,0.2945957923280906
pooled,F_only,15,0,1190,300,399,100,0.5426681691342092,0.3956061643170547,0.30755773616976756
pooled,F_only,15,1,1191,299,399,100,0.4165318531719251,0.3971108343392331,0.30577243284605077
pooled,F_only,15,2,1192,298,399,100,0.3278386022447135,0.36828143605985036,0.29018411393024146
pooled,F_only,15,3,1193,297,399,100,0.5500930190411344,0.374019621681756,0.294030125242511
pooled,F_only,15,4,1194,296,400,99,0.44827842628732595,0.4535620654063674,0.33157575764422087
pooled,F_only,16,0,1194,296,399,100,0.39671805792505566,0.427009894603593,0.32946124351436945
pooled,F_only,16,1,1191,299,399,100,0.512595146166896,0.42342975746546374,0.3087136298434389
pooled,F_only,16,2,1190,300,399,100,0.5320275106290819,0.39833236419901025,0.3081589387750643
pooled,F_only,16,3,1191,299,399,100,0.39980636889985055,0.3617651821247673,0.28802320900880574
pooled,F_only,16,4,1194,296,400,99,0.46801038904089687,0.37908084229536154,0.29337938963220556
pooled,F_only,17,0,1191,299,399,100,0.5451466523628578,0.4190338140484277,0.30062806220215643
pooled,F_only,17,1,1192,298,399,100,0.48715009545691446,0.38129750198429396,0.29397779856985834
pooled,F_only,17,2,1192,298,399,100,0.4958513304969764,0.4162087405168736,0.3159823564871395
pooled,F_only,17,3,1191,299,399,100,0.40360236547075556,0.3942202581633022,0.3110852375278996
pooled,F_only,17,4,1194,296,400,99,0.2949762830551813,0.38990291039509306,0.3070005907219599
pooled,F_only,18,0,1192,298,399,100,0.45664626784898366,0.3681919335772721,0.2903208578466622
pooled,F_only,18,1,1191,299,399,100,0.5890080746605542,0.3792004393338226,0.3005033255001628
pooled,F_only,18,2,1192,298,399,100,0.30246891714712976,0.4130948768051187,0.33170101164207527
pooled,F_only,18,3,1191,299,399,100,0.3846522536792395,0.4402580389476874,0.30514308093904197
pooled,F_only,18,4,1194,296,400,99,0.5208749188292274,0.39915378612392516,0.3047218316247244
pooled,F_only,19,0,1191,299,399,100,0.393598370697972,0.4337708276377959,0.31769500798283157
pooled,F_only,19,1,1191,299,399,100,0.4763411580332825,0.3726764903876553,0.28843451938999265
pooled,F_only,19,2,1193,297,399,100,0.4954474534865273,0.36083007167113595,0.27632405629033957
pooled,F_only,19,3,1190,300,399,100,0.4027306557006214,0.4152888649235245,0.33597866128634485
pooled,F_only,19,4,1195,295,400,99,0.5491574071630795,0.4070040380709369,0.30754326364989293
pooled,H+E,0,0,1191,299,399,100,0.24616864616966838,0.4960898501673499,0.3394426227307451
pooled,H+E,0,1,1191,299,399,100,0.1279292169103915,0.46804364308088503,0.35467660397582673
pooled,H+E,0,2,1191,299,399,100,0.10847096155629388,0.5709927415055182,0.37459288770764815
pooled,H+E,0,3,1192,298,399,100,0.3142420753774978,0.4196481707369982,0.31067597827209903
pooled,H+E,0,4,1195,295,400,99,0.29871594988731753,0.45595999235103146,0.3285526401549027
pooled,H+E,1,0,1190,300,399,100,0.25405254253447307,0.4187070040534048,0.3237014180904514
pooled,H+E,1,1,1195,295,399,100,0.2745494323992782,0.4344034346391916,0.32217135810198905
pooled,H+E,1,2,1192,298,399,100,0.14774356101043717,0.4816417173489541,0.32975947095700736
pooled,H+E,1,3,1190,300,399,100,0.22003686429696379,0.5432900232115614,0.37313180497201753
pooled,H+E,1,4,1193,297,400,99,0.19130073718390384,0.534472991008905,0.35919739811903684
pooled,H+E,2,0,1191,299,399,100,0.2607541919276569,0.5234856014569671,0.35639344237868614
pooled,H+E,2,1,1190,300,399,100,0.14742100761055288,0.46141946274455714,0.3460269355436169
pooled,H+E,2,2,1193,297,399,100,0.25117783385019055,0.48473109105911977,0.3536417063881324
pooled,H+E,2,3,1192,298,399,100,0.166949686198144,0.5127472266570922,0.3362928730398845
pooled,H+E,2,4,1194,296,400,99,0.20820812121274535,0.4392073724736641,0.31820205064042223
pooled,H+E,3,0,1190,300,399,100,0.23260369256745417,0.42038172722648637,0.33885567425851204
pooled,H+E,3,1,1190,300,399,100,0.20493990880284585,0.4393059370152336,0.32087199054023835
pooled,H+E,3,2,1191,299,399,100,0.2270581047317054,0.4627416458346337,0.32672865680884167
pooled,H+E,3,3,1193,297,399,100,0.20516504822455106,0.520962698973866,0.34845670549554486
pooled,H+E,3,4,1196,294,400,99,0.201668233948621,0.5680859241292954,0.37637433405214793
pooled,H+E,4,0,1190,300,399,100,0.16113103033049336,0.5922299687182043,0.37949980408183054
pooled,H+E,4,1,1190,300,399,100,0.2942329644605184,0.4667351920686701,0.33627281131000286
pooled,H+E,4,2,1190,300,399,100,0.2175696606657459,0.492721597019592,0.3431891317510117
pooled,H+E,4,3,1194,296,399,100,0.2643124716500689,0.40950256968389614,0.31416941390517983
pooled,H+E,4,4,1196,294,400,99,0.18248322653567162,0.4343939573013902,0.3310574088677772
pooled,H+E,5,0,1194,296,399,100,0.2771930766547245,0.4520622302744205,0.3281806923041606
pooled,H+E,5,1,1190,300,399,100,0.24170377921276354,0.4247336470369207,0.3157531396243371
pooled,H+E,5,2,1191,299,399,100,0.21296882653931037,0.4949870831374153,0.3391317945265461
pooled,H+E,5,3,1190,300,399,100,0.25069718470991653,0.503649330032622,0.3660836207342285
pooled,H+E,5,4,1195,295,400,99,0.13533650562576494,0.5328519014026692,0.35878501714789657
