domain,specification,predictors,n,n_prompt_groups,cv_r2_mean,cv_r2_sd_across_repeats,cv_r2_boot_ci_low,cv_r2_boot_ci_high,cv_rmse,cv_mae,cv_spearman,cv_pearson,in_sample_r2,in_sample_adj_r2,fold_r2_min,fold_r2_max
education,D_only,D,415,139,0.0011303004697328979,0.013030725967989437,-0.04782453285021093,0.06272514625339165,0.5778209295929646,0.3653807217604821,-0.04220854615976956,0.08795879023684354,0.03465283578673839,0.03231543345208154,-0.34172818421710494,0.14201931123010136
education,F_only,F,415,139,0.5617404342615357,0.004417489036978205,0.2840906178999638,0.6965128520305414,0.38274370998246626,0.3064778327180969,0.14049964235115991,0.7495417991880495,0.5712923719704267,0.5702543389727764,-0.40100210233563716,0.7778881405254683
education,H+E,H+E,415,139,0.09078466536290619,0.01537575328734582,-0.09315935956202129,0.216638890916013,0.5512725092579693,0.36845200662406435,0.01615645749560554,0.3033413896700109,0.12180890332842675,0.11754583975235111,-0.5340440642960624,0.3751955794649866
education,H+D,H+D,415,139,0.09271780629580517,0.021134508779445203,-0.07421499127073453,0.20916170647410418,0.5506694566661394,0.3730709878094383,0.039759440369419904,0.3089469147951259,0.1454248309611781,0.1412764078105041,-0.5698322640261024,0.3981895307957227
education,H+F,H+F,415,139,0.5648916043352517,0.005741610280477656,0.2884793577785959,0.6979821654976383,0.3813619348540358,0.30323746583543415,0.15430110148141743,0.7516491507733193,0.5775335785832604,0.5754827707123054,-0.3581820861253864,0.7912156779260029
education,H+E+D,H+E+D,415,139,0.09919101744200759,0.020655088730605568,-0.07870237378314762,0.21541449910279786,0.5487025422201482,0.3766073829849927,0.029834017380683385,0.3195174355892497,0.15442420757504127,0.14825212149894662,-0.5876891956361545,0.3927009941363182
education,H+E+F,H+E+F,415,139,0.5644639769327133,0.006252277194577709,0.28557623853295805,0.697839076627226,0.3815478465144237,0.30235171975089636,0.15677407540325833,0.7513628224419066,0.5793937571323992,0.5763236385713217,-0.344219313828638,0.7887091795318106
education,H+D+F,H+D+F,415,139,0.5637080004222077,0.007536092207012896,0.29456082415084234,0.6966526890399753,0.3818745745164465,0.30315550569300986,0.1499101381200547,0.7508962014956179,0.5818071490719956,0.5787546465104774,-0.3258099192578472,0.7858992027476334
education,E+D+F,E+D+F,415,139,0.5587928526678747,0.006235208333088219,0.28847766554600046,0.6919117390682534,0.38402416257145966,0.3063855028672159,0.13471965542667869,0.7475892173676459,0.5760803107303304,0.5729860064290919,-0.36691546901334293,0.7701916108531628
education,H+E+D+F,H+E+D+F,415,139,0.5615564806938751,0.007230107119086769,0.2921191967952886,0.6950572254930357,0.3828162195678223,0.3035247585267761,0.14709764148793975,0.7494499743764357,0.5819322939087206,0.5778535845810008,-0.3248090417103655,0.7857789922988172
